REASON,YEAR,AUTHOR,TITLE,JOURNAL,ISSN,PAGES,ISSUE,VOL,Y/N,NOTES,
2,2012,"Weiss, Brian L.; Maltz, Michele; Aksoy, Serap",Obligate Symbionts Activate Immune System Development in the Tsetse Fly,Journal of Immunology,0022-1767,3395-3403,7,188,Studies that did not meet inclusion criteria,,
2,2012,"Xu, Xiao-Yan; Shen, Yu-Bang; Fu, Jian-Jun; Liu, Feng; Guo, Shi-Zhao; Yang, Xiao-Meng; Li, Jia-Le",Matrix metalloproteinase 2 of grass carp Ctenopharyngodon idella (CiMMP2) is involved in the immune response against bacterial infection.,Fish & Shellfish Immunology,1050-4648,251-257,2,33,Studies that did not meet inclusion criteria,,
2,2012,"Zhang, Xiang-Fei; Zhao, Dong-Xiao; Li, Hao-Sen; Hong, Xiao-Yue",Expression of Cytoplasmic Incompatibility and Host Fitness Effects in Field Populations of Sogatella furcifera Infected With Cardinium.,Journal of Economic Entomology,0022-0493,2161-2166,6,105,Studies that did not meet inclusion criteria,,
3,2012,"Phillott, Andrea D.; Parmenter, C. John",Anti-fungal Properties of Sea Turtle Cloacal Mucus and Egg Albumen,Marine Turtle Newsletter,0839-7708,17-21,134,,Studies that did not meet inclusion criteria,,
4,2012,"Dematheis, Flavia; Kurtz, Benedikt; Vidal, Stefan; Smalla, Kornelia",Microbial Communities Associated with the Larval Gut and Eggs of the Western Corn Rootworm,Plos One,1932-6203,e44685,10,7,Studies that did not meet inclusion criteria,,
4,2012,"Sharp, Koty H.; Distel, Dan; Paul, Valerie J.",Diversity and dynamics of bacterial communities in early life stages of the Caribbean coral Porites astreoides,Isme Journal,1751-7362,790-801,4,6,Studies that did not meet inclusion criteria,,
4,2012,"Lalzar, Itai; Harrus, Shimon; Mumcuoglu, Kosta Y.; Gottlieb, Yuval",Composition and Seasonal Variation of Rhipicephalus turanicus and Rhipicephalus sanguineus Bacterial Communities,Applied and Environmental Microbiology,0099-2240,4110-4116,12,78,Studies that did not meet inclusion criteria,"Sampled adult ticks, eggs, and larvae for Coxiella sp. but did not run 16S on eggs/larvae",
1,2013,"Stewart, Christopher J.; Marrs, Emma C. L.; Nelson, Andrew; Lanyon, Clare; Perry, John D.; Embleton, Nicholas D.; Cummings, Stephen P.; Berrington, Janet E.",Development of the Preterm Gut Microbiome in Twins at Risk of Necrotising Enterocolitis and Sepsis,Plos One,1932-6203,e73465,8,8,Studies that did not meet inclusion criteria,,
1,2013,"Torricelli, Michela; Voltolini, Chiara; Conti, Nathalie; Vellucci, Francesca Letizia; Orlandini, Cinzia; Bocchi, Caterina; Severi, Filiberto Maria; Toti, Paolo; Buonocore, Giuseppe; Petraglia, Felice",Histologic chorioamnionitis at term: implications for the progress of labor and neonatal wellbeing,Journal of Maternal-Fetal & Neonatal Medicine,1476-7058,188-192,2,26,Studies that did not meet inclusion criteria,,
2,2013,"Turley, Andrew P.; Zalucki, Myron P.; O'Neill, Scott L.; McGraw, Elizabeth A.",Transinfected Wolbachia have minimal effects on male reproductive success in Aedes aegypti.,Parasites & Vectors,1756-3305,1-10,,6,Studies that did not meet inclusion criteria,,
2,2013,"Wang, Mengdong; Sugimoto, Miki; Ikeda, Shuntaro; Kume, Shinichi",Effects of coumestrol administration to maternal mice during pregnancy and lactation on immunoblogulin A-secreting cells in mammary glands,Animal Science Journal,1344-3941,322-327,4,84,Studies that did not meet inclusion criteria,,
2,2013,"Bedrani, Larbi; Helloin, Emmanuelle; Guyot, Nicolas; Rehault-Godbert, Sophie; Nys, Yves",Passive maternal exposure to environmental microbes selectively modulates the innate defences of chicken egg white by increasing some of its antibacterial activities,Bmc Microbiology,1471-2180,128,,13,Studies that did not meet inclusion criteria,,
2,2013,"Cano, I.; Valverde, E. J.; Garcia-Rosado, E.; Alonso, M. C.; Lopez-Jimena, B.; Ortiz-Delgado, J. B.; Borrego, J. J.; Sarasquete, C.; Castro, D.","Transmission of lymphocystis disease virus to cultured gilthead seabream, Sparus aurata L., larvae.",Journal of Fish Diseases,0140-7775,569-576,6,36,Studies that did not meet inclusion criteria,,
2,2013,"Epstein, Jonathan H.; Baker, Michelle L.; Zambrana-Torrelio, Carlos; Middleton, Deborah; Barr, Jennifer A.; DuBovi, Edward; Boyd, Victoria; Pope, Brian; Todd, Shawn; Crameri, Gary; Walsh, Allyson; Pelican, Katey; Fielder, Mark D.; Davies, Angela J.; Wang, Lin-Fa; Daszak, Peter",Duration of Maternal Antibodies against Canine Distemper Virus and Hendra Virus in Pteropid Bats.,PLoS ONE,1932-6203,e67584,6,8,Studies that did not meet inclusion criteria,,
2,2013,"Fan, Yongliang; Wernegreen, Jennifer J.",Can't Take the Heat: High Temperature Depletes Bacterial Endosymbionts of Ants,Microbial Ecology,0095-3628,727-733,3,66,Studies that did not meet inclusion criteria,,
2,2013,"Kallio, Eva R.; Henttonen, Heikki; Koskela, Esa; Lundkvist, Ake; Mappes, Tapio; Vapalahti, Olli",Maternal antibodies contribute to sex-based difference in hantavirus transmission dynamics.,Biology Letters,1744-9561,"20130887, 1-4",6,9,Studies that did not meet inclusion criteria,,
2,2013,"Lavialle, Christian; Cornelis, Guillaume; Dupressoir, Anne; Esnault, Cecile; Heidmann, Odile; Vernochet, Cecile; Heidmann, Thierry","Paleovirology of 'syncytins', retroviral env genes exapted for a role in placentation.",Royal Society Philosophical Transactions Biological Sciences,0962-8436,"20120507, 1-10",1626,368,Studies that did not meet inclusion criteria,,
2,2013,"Le Clec'h, Winka; Raimond, Maryline; Guillot, Sylvain; Bouchon, Didier; Sicard, Mathieu",Horizontal transfers of feminizing versus non-feminizing Wolbachia strains: from harmless passengers to pathogens.,Environmental Microbiology,1462-2912,2922-2936,11,15,Studies that did not meet inclusion criteria,,
2,2013,"Martinez, Fernando; Manteca, Xavier; Pastor, Josep",RETROSPECTIVE STUDY OF MORBIDITY AND MORTALITY OF CAPTIVE IBERIAN LYNX (LYNX PARDINUS) IN THE EX SITU CONSERVATION PROGRAMME (2004-JUNE 2010).,Journal of Zoo and Wildlife Medicine,1042-7260,845-852,4,44,Studies that did not meet inclusion criteria,,
2,2013,"Morick, Danny; Krasnov, Boris R.; Khokhlova, Irina S.; Gottlieb, Yuval; Harrus, Shimon",Transmission Dynamics of Bartonella sp Strain OE 1-1 in Sundevall's Jirds (Meriones crassus).,Applied and Environmental Microbiology,0099-2240,1258-1264,4,79,Studies that did not meet inclusion criteria,,
2,2013,"Morick, Danny; Krasnov, Boris R.; Khokhlova, Irina S.; Gutierrez, Ricardo; Gottlieb, Yuval; Harrus, Shimon",Vertical nontransovarial transmission of Bartonella in fleas,Molecular Ecology,0962-1083,4747-4752,18,22,Studies that did not meet inclusion criteria,,
2,2013,"Newbrey, Jennifer L.; Paszkowski, Cynthia A.; Dumenko, Erin D.",A Comparison of Natural and Restored Wetlands as Breeding Bird Habitat Using a Novel Yolk Carotenoid Approach,Wetlands,0277-5212,471-482,3,33,Studies that did not meet inclusion criteria,,
2,2013,"Schlotz, Nina; Ebert, Dieter; Martin-Creuzburg, Dominik",Dietary supply with polyunsaturated fatty acids and resulting maternal effects influence host - parasite interactions.,BMC Ecology,1472-6785,1-10,,13,Studies that did not meet inclusion criteria,,
2,2013,"Schwarzenberger, Anke; Von Elert, Eric",Cyanobacterial protease inhibitors lead to maternal transfer of increased protease gene expression in Daphnia.,Oecologia (Berlin),0029-8549,11-20,1,172,Studies that did not meet inclusion criteria,,
2,2013,"Toki, Wataru; Takahashi, Yukiko; Togashi, Katsumi",Fungal Garden Making inside Bamboos by a Non-Social Fungus-Growing Beetle,Plos One,1932-6203,e79515,11,8,Studies that did not meet inclusion criteria,,
2,2013,"Vijendravarma, R. K.; Kawecki, T. J.",Epistasis and maternal effects in experimental adaptation to chronic nutritional stress in Drosophila,Journal of Evolutionary Biology,1010-061X,2566-2580,12,26,Studies that did not meet inclusion criteria,,
2,2013,"Woodbury, Nathan; Moore, Margo; Gries, Gerhard",Horizontal transmission of the microbial symbionts Enterobacter cloacae and Mycotypha microspora to their firebrat host,Entomologia Experimentalis Et Applicata,0013-8703,160-166,2,147,Studies that did not meet inclusion criteria,,
2,2013,"Yue, Feng; Zhou, Zhi; Wang, Lingling; Ma, Zhaopeng; Wang, Jingjing; Wang, Mengqiang; Zhang, Huan; Song, Linsheng",Maternal transfer of immunity in scallop Chlamys farreri and its trans-generational immune protection to offspring against bacterial challenge.,Developmental & Comparative Immunology,0145-305X,569-577,4,41,Studies that did not meet inclusion criteria,,
4,2013,"Tan, Qianglai; Xu, Hengyi; Xu, Feng; Aguilar, Zoraida P.; Yang, Youjun; Dong, Suqin; Chen, Tingtao; Wei, Hua","Survival, distribution, and translocation of Enterococcus faecalis and implications for pregnant mice",FEMS Microbiology Letters,0378-1097,32-39,1,349,Studies that did not meet inclusion criteria,,
1,2014,"Drell, Tiina; Lutsar, Irja; Stsepetova, Jelena; Parm, Ulle; Metsvaht, Tuuli; Ilmoja, Mari-Liis; Simm, Jaak; Sepp, Epp",The development of gut microbiota in critically ill extremely low birth weight infants assessed with 16S rRNA gene based sequencing,Gut Microbes,1949-0976,304-312,3,5,Studies that did not meet inclusion criteria,,
1,2014,"Patole, Sanjay; Keil, Anthony D.; Chang, Annie; Nathan, Elizabeth; Doherty, Dorota; Simmer, Karen; Esvaran, Meera; Conway, Patricia",Effect of Bifidobacterium breve M-16V Supplementation on Fecal Bifidobacteria in Preterm Neonates - A Randomised Double Blind Placebo Controlled Trial,Plos One,1932-6203,e89511,3,9,Studies that did not meet inclusion criteria,,
1,2014,"Romero, Roberto; Yoon, Bo Hyun; Chaemsaithong, Piya; Cortez, Josef; Park, Chan-Wook; Gonzalez, Rogelio; Behnke, Ernesto; Hassan, Sonia S.; Chaiworapongsa, Tinnakorn; Yeo, Lami",Bacteria and endotoxin in meconium-stained amniotic fluid at term: could intra-amniotic infection cause meconium passage?,Journal of Maternal-Fetal & Neonatal Medicine,1476-7058,775-788,8,27,Studies that did not meet inclusion criteria,,
1,2014,"Chaurasia, Sunita; Ramappa, Muralidhar; Ashar, Jatin; Sharma, Savitri",Neonatal Infectious Keratitis,Cornea,0277-3740,673-676,7,33,Studies that did not meet inclusion criteria,,
1,2014,"Manzon, Lauren; Altarescu, Gheona; Tevet, Aharon; Schimmel, Michael S.; Elstein, Deborah; Samueloff, Arnon; Grisaru-Granovsky, Sorina",Vitamin D receptor polymorphism FokI is associated with spontaneous idiopathic preterm birth in an Israeli population,European Journal of Obstetrics & Gynecology and Reproductive Biology,0301-2115,84-88,,177,Studies that did not meet inclusion criteria,,
2,2014,"Das, Biswadeep; Satapathy, Truptimayee; Kar, Santanu K.; Hazra, Rupenangshu K.","Genetic Structure and Wolbachia Genotyping in Naturally Occurring Populations of Aedes albopictus across Contiguous Landscapes of Orissa, India.",PLoS ONE,1932-6203,e94094,4,9,Studies that did not meet inclusion criteria,,
2,2014,"Randis, Tara M.; Gelber, Shari E.; Hooven, Thomas A.; Abellar, Rosanna G.; Akabas, Leor H.; Lewis, Emma L.; Walker, Lindsay B.; Byland, Leah M.; Nizet, Victor; Ratner, Adam J.",Group B Streptococcus beta-hemolysin/Cytolysin Breaches Maternal-Fetal Barriers to Cause Preterm Birth and Intrauterine Fetal Demise in Vivo,Journal of Infectious Diseases,0022-1899,265-273,2,210,Studies that did not meet inclusion criteria,,
2,2014,"Boos, Stefan; Meunier, Joel; Pichon, Samuel; Koelliker, Mathias",Maternal care provides antifungal protection to eggs in the European earwig,Behavioral Ecology,1045-2249,754-761,4,25,Studies that did not meet inclusion criteria,,
2,2014,"Clark, Emily S.; Pompini, Manuel; da Cunha, Lucas Marques; Wedekind, Claus",Maternal and paternal contributions to pathogen resistance dependent on development stage in a whitefish (Salmonidae).,Functional Ecology,0269-8463,714-723,3,28,Studies that did not meet inclusion criteria,,
2,2014,"Correa, C. Carolina; Ballard, J. William O.",What can symbiont titres tell us about co-evolution of Wolbachia and their host?,Journal of Invertebrate Pathology,0022-2011,20-27,,118,Studies that did not meet inclusion criteria,,
2,2014,"Crossman, James A.; Scribner, Kim T.; Davis, Christin A.; Forsythe, Patrick S.; Baker, Edward A.",Survival and Growth of Lake Sturgeon during Early Life Stages as a Function of Rearing Environment,Transactions of the American Fisheries Society,0002-8487,104-116,1,143,Studies that did not meet inclusion criteria,,
2,2014,"de Haas, Elske N.; Bolhuis, J. Elizabeth; Kemp, Bas; Groothuis, Ton G. G.; Rodenburg, T. Bas",Parents and Early Life Environment Affect Behavioral Development of Laying Hen Chickens,Plos One,1932-6203,e90577,3,9,Studies that did not meet inclusion criteria,,
2,2014,"De Vooght, Linda; Caljon, Guy; De Ridder, Karin; Van den Abbeele, Jan","Delivery of a functional anti-trypanosome Nanobody in different tsetse fly tissues via a bacterial symbiont, Sodalis glossinidius",Microbial Cell Factories,1475-2859,156,,13,Studies that did not meet inclusion criteria,,
2,2014,"Dusi, E.; Krenek, S.; Schrallhammer, M.; Sachse, R.; Rauch, G.; Kaltz, O.; Berendonk, T. U.",Vertically transmitted symbiont reduces host fitness along temperature gradient.,Journal of Evolutionary Biology,1010-061X,796-800,4,27,Studies that did not meet inclusion criteria,,
2,2014,"Foley, Kelly A.; Ossenkopp, Klaus-Peter; Kavaliers, Martin; MacFabe, Derrick F.","Pre- and Neonatal Exposure to Lipopolysaccharide or the Enteric Metabolite, Propionic Acid, Alters Development and Behavior in Adolescent Rats in a Sexually Dimorphic Manner",Plos One,1932-6203,e87072,1,9,Studies that did not meet inclusion criteria,,
2,2014,"Garbutt, Jennie S.; Scholefield, Jennifer A.; Vale, Pedro F.; Little, Tom J.",Elevated maternal temperature enhances offspring disease resistance in Daphnia magna.,Functional Ecology,0269-8463,424-431,2,28,Studies that did not meet inclusion criteria,,
2,2014,"Hammouda, Abdessalem; Pearce-Duvet, Jessica; Boulinier, Thierry; Selmi, Slaheddine",Egg sampling as a possible alternative to blood sampling when monitoring the exposure of yellow-legged gulls (Larus michahellis) to avian influenza viruses.,Avian Pathology,0307-9457,547-551,6,43,Studies that did not meet inclusion criteria,,
2,2014,"Kang, Silvia S.; Kurti, Aishe; Fair, Damien A.; Fryer, John D.",Dietary intervention rescues maternal obesity induced behavior deficits and neuroinflammation in offspring,Journal of Neuroinflammation,1742-2094,156,,11,Studies that did not meet inclusion criteria,,
2,2014,"Landmann, Frederic; Foster, Jeremy M.; Michalski, Michelle L.; Slatko, Barton E.; Sullivan, William",Co-evolution between an Endosymbiont and Its Nematode Host: Wolbachia Asymmetric Posterior Localization and AP Polarity Establishment.,PLoS Neglected Tropical Diseases,1935-2727; 1935-2735,e3096,8,8,Studies that did not meet inclusion criteria,,
2,2014,"Metcalf, Jason A.; Jo, Minhee; Bordenstein, Sarah R.; Jaenike, John; Bordenstein, Seth R.",Recent genome reduction of Wolbachia in Drosophila recens targets phage WO and narrows candidates for reproductive parasitism,PeerJ,2167-8359,e529,,2,Studies that did not meet inclusion criteria,,
2,2014,"Mingming, Han; FuHong, Ding; Zhen, Meng; Jilin, Lei",The effect of vaccinating turbot broodstocks on the maternal immunity transfer to offspring immunity.,Fish & Shellfish Immunology,1050-4648,118-124,1,39,Studies that did not meet inclusion criteria,,
2,2014,"Perlman, Steve J.; Dowdy, Nicolas J.; Harris, Leanne R.; Khalid, Mahwish; Kelly, Suzanne E.; Hunter, Martha S.",Factors Affecting the Strength of Cardinium-Induced Cytoplasmic Incompatibility in the Parasitic Wasp Encarsia pergandiella (Hymenoptera: Aphelinidae),Microbial Ecology,0095-3628,671-678,3,67,Studies that did not meet inclusion criteria,,
2,2014,"Prakash, Bandekodigenahalli M.; Prathima, Aswathaiah; Huchesh, Hoolageri C.; Ravikumar, Hemagirigowda; Sampathkumar, Shankaranarayan; Puttaraju, Hosagavi P.","Sex ratio distortion in the Nesolynx thymus (Hymenoptera: Eulophidae), an ecto-pupal parasitoid of uzifly, Exorista sorbillans (Diptera: Tachinidae).",European Journal of Entomology,1210-5759,453-456,4,111,Studies that did not meet inclusion criteria,,
2,2014,"Purcell, Jessica; Chapuisat, Michel",Foster carers influence brood pathogen resistance in ants.,Proceedings of the Royal Society Biological Sciences Series B,0962-8452,20141338,1792,281,Studies that did not meet inclusion criteria,,
2,2014,"Roulin, Anne C.; Wu, Min; Pichon, Samuel; Arbore, Roberto; Kuehn-Buehlmann, Simone; Koelliker, Mathias; Walser, Jean-Claude","De Novo Transcriptome Hybrid Assembly and Validation in the European Earwig (Dermaptera, Forficula auricularia)",PLoS One,1932-6203,e94098,4,9,Studies that did not meet inclusion criteria,,
2,2014,"Shi, Z. H.; Lin, Y. T.; Hou, Y. M.","Mother-derived trans-generational immune priming in the red palm weevil, Rhynchophorus ferrugineus Olivier (Coleoptera, Dryophthoridae).",Bulletin of Entomological Research,0007-4853,742-750,6,104,Studies that did not meet inclusion criteria,,
2,2014,"Shimizu, Ryuhei; Umezawa, Masakazu; Okamoto, Saki; Noda, Atsuto; Uchiyama, Mariko; Tachibana, Ken; Watanabe, Shiho; Ogawa, Shuhei; Abe, Ryo; Takeda, Ken",Effect of maternal exposure to carbon black nanoparticle during early gestation on the splenic phenotype of neonatal mouse,Journal of Toxicological Sciences,0388-1350,571-578,4,39,Studies that did not meet inclusion criteria,,
2,2014,"van Dijk, Jacintha G. B.; Mateman, A. Christa; Klaassen, Marcel",Transfer of Maternal Antibodies against Avian Influenza Virus in Mallards (Anas platyrhynchos).,PLoS ONE,1932-6203,e112595,11,9,Studies that did not meet inclusion criteria,,
2,2014,"Xia, Hu; Wu, Kang; Liu, Wanjing; Gul, Yasmeen; Wang, Weimin; Zhang, Xuezhen",Molecular cloning and expression analysis of immunoglobulin M heavy chain gene of blunt snout bream (Megalobrama amblycephala).,Fish & Shellfish Immunology,1050-4648,129-135,1,40,Studies that did not meet inclusion criteria,,
2,2014,"Yang, Lili; Bu, Lingzhen; Sun, Weiwei; Hu, Lili; Zhang, Shicui",Functional characterization of mannose-binding lectin in zebrafish: Implication for a lectin-dependent complement system in early embryos,Developmental and Comparative Immunology,0145-305X,314-322,2,46,Studies that did not meet inclusion criteria,,
3,2014,"Hallam, Megan C.; Barile, Daniela; Meyrand, Mickael; German, J. Bruce; Reimer, Raylene A.",Maternal High-Protein or High-Prebiotic-Fiber Diets Affect Maternal Milk Composition and Gut Microbiota in Rat Dams and Their Offspring,Obesity,1930-7381,2344-2351,11,22,Studies that did not meet inclusion criteria,used qPCR of 16S gene,
3,2014,"Freitak, Dalial; Schmidtberg, Henrike; Dickel, Franziska; Lochnit, Guenther; Vogel, Heiko; Vilcinskas, Andreas",The maternal transfer of bacteria can mediate trans-generational immune priming in insects,Virulence,2150-5594,547-554,4,5,Studies that did not meet inclusion criteria,,
3,2014,"Jacobs, Chris G. C.; Wang, Yin; Vogel, Heiko; Vilcinskas, Andreas; van der Zee, Maurijn; Rozen, Daniel E.","Egg survival is reduced by grave-soil microbes in the carrion beetle, Nicrophorus vespilloides",Bmc Evolutionary Biology,1471-2148,208,,14,Studies that did not meet inclusion criteria,,
4,2014,"Deshmukh, Hitesh S.; Liu, Yuhong; Menkiti, Ogechukwu R.; Mei, Junjie; Dai, Ning; O'Leary, Claire E.; Oliver, Paula M.; Kolls, Jay K.; Weiser, Jeffrey N.; Worthen, G. Scott",The microbiota regulates neutrophil homeostasis and host resistance to Escherichia coli K1 sepsis in neonatal mice,Nature Medicine,1078-8956,528-534,5,20,Studies that did not meet inclusion criteria,,
4,2014,"Giraudeau, M.; Czirjak, G. A.; Duval, C.; Bretagnolle, V.; Gutierrez, C.; Heeb, P.",An experimental test in Mallards (Anas platyrhynchos) of the effect of incubation and maternal preen oil on eggshell microbial load,Journal of Ornithology,2193-7192,671-677,3,155,Studies that did not meet inclusion criteria,,
4,2014,"Horrocks, Nicholas P. C.; Hine, Kathryn; Hegemann, Arne; Ndithia, Henry K.; Shobrak, Mohammed; Ostrowski, Stephane; Williams, Joseph B.; Matson, Kevin D.; Tieleman, B. Irene",Are antimicrobial defences in bird eggs related to climatic conditions associated with risk of trans-shell microbial infection?,Frontiers in Zoology,1742-9994,49,,11,Studies that did not meet inclusion criteria,,
4,2014,"Hughes, Grant L.; Dodson, Brittany L.; Johnson, Rebecca M.; Murdock, Courtney C.; Tsujimoto, Hitoshi; Suzuki, Yasutsugu; Patt, Alyssa A.; Cui, Long; Nossa, Carlos W.; Barry, Rhiannon M.; Sakamoto, Joyce M.; Hornett, Emily A.; Rasgon, Jason L.",Native microbiome impedes vertical transmission of Wolbachia in Anopheles mosquitoes,Proceedings of the National Academy of Sciences of the United States of   America,0027-8424,12498-12503,34,111,Studies that did not meet inclusion criteria,,
4,2014,"Liu, Yiying; de Bruijn, Irene; Jack, Allison L. H.; Drynan, Keith; van den Berg, Albert H.; Thoen, Even; Sandoval-Sierra, Vladimir; Skaar, Ida; van West, Pieter; Dieguez-Uribeondo, Javier; van der Voort, Menno; Mendes, Rodrigo; Mazzola, Mark; Raaijmakers, Jos M.",Deciphering microbial landscapes of fish eggs to mitigate emerging diseases,Isme Journal,1751-7362,2002-2014,10,8,Studies that did not meet inclusion criteria,,
4,2014,"Mason, Charles J.; Raffa, Kenneth F.",Acquisition and Structuring of Midgut Bacterial Communities in Gypsy Moth (Lepidoptera: Erebidae) Larvae,Environmental Entomology,0046-225X,595-604,3,43,Studies that did not meet inclusion criteria,,
4,2014,"Myles, Ian A.; Pincus, Nathan B.; Fontecilla, Natalia M.; Datta, Sandip K.",Effects of Parental Omega-3 Fatty Acid Intake on Offspring Microbiome and Immunity,PLoS One,1932-6203,e87181,1,9,Studies that did not meet inclusion criteria,,
1,2015,"Cong, Xiaomei; Henderson, Wendy A.; Graf, Joerg; McGrath, Jacqueline M.",Early Life Experience and Gut Microbiome The Brain-Gut-Microbiota Signaling System,Advances in Neonatal Care,1536-0903,314-323,5,15,Studies that did not meet inclusion criteria,,
1,2015,"Del Chierico, Federica; Vernocchi, Pamela; Petrucca, Andrea; Paci, Paola; Fuentes, Susana; Pratico, Giulia; Capuani, Giorgio; Masotti, Andrea; Reddel, Sofia; Russo, Alessandra; Vallone, Cristina; Salvatori, Guglielmo; Buffone, Elsa; Signore, Fabrizio; Rigon, Giuliano; Dotta, Andrea; Miccheli, Alfredo; de Vos, Willem M.; Dallapiccola, Bruno; Putignani, Lorenza",Phylogenetic and Metabolic Tracking of Gut Microbiota during Perinatal Development,Plos One,1932-6203,e0137347,9,10,Studies that did not meet inclusion criteria,,
1,2015,"Combs, C. Andrew; Garite, Thomas J.; Lapidus, Jodi A.; Lapointe, Jerome P.; Gravett, Michael; Rael, Julie; Amon, Erol; Baxter, Jason K.; Brady, Kim; Clewell, William; Eddleman, Keith A.; Fortunato, Stephen; Franco, Albert; Haas, David M.; Heyborne, Kent; Hickok, Durlin E.; How, Helen Y.; Luthy, David; Miller, Hugh; Nageotte, Michael; Pereira, Leonardo; Porreco, Richard; Robilio, Peter A.; Simhan, Hyagriv; Sullivan, Scott A.; Trofatter, Kenneth; Westover, Thomas",Detection of microbial invasion of the amniotic cavity by analysis of cervicovaginal proteins in women with preterm labor and intact membranes,American Journal of Obstetrics and Gynecology,0002-9378,4.82E+03,4,212,Studies that did not meet inclusion criteria,,
1,2015,"Chung, Y. Anny; Miller, Tom E. X.; Rudgers, Jennifer A.",Fungal symbionts maintain a rare plant population but demographic advantage drives the dominance of a common host,Journal of Ecology,0022-0477,967-977,4,103,Studies that did not meet inclusion criteria,,
1,2015,"Vivas, Maria; Kemler, Martin; Slippers, Bernard",Maternal effects on tree phenotypes: considering the microbiome,Trends in Plant Science,1360-1385,541-544,9,20,Studies that did not meet inclusion criteria,,
1,2015,"Fichorova, Raina N.; Beatty, Noah; Sassi, Rita R. S.; Yamamoto, Hidemi S.; Allred, Elizabeth N.; Leviton, Alan",Systemic Inflammation in the Extremely Low Gestational Age Newborn Following Maternal Genitourinary Infections,American Journal of Reproductive Immunology,1046-7408,162-174,2,73,Studies that did not meet inclusion criteria,,
1,2015,"Chen, Jin-Song; Li, Jun; Zhang, Yun; Zong, Hao; Lei, Ning-Fei","Clonal integration ameliorates the carbon accumulation capacity of a stoloniferous herb, Glechoma longituba, growing in heterogenous light conditions by facilitating nitrogen assimilation in the rhizosphere",Annals of Botany,0305-7364,127-136,1,115,Studies that did not meet inclusion criteria,,
2,2015,"Griffiths, Kate; Hou, Rong; Wang, Hairui; Zhang, Zhihe; Zhang, Liang; Zhang, Tong; Watson, David G.; Burchmore, Richard J. S.; Loeffler, I. Kati; Kennedy, Malcolm W.","Prolonged transition time between colostrum and mature milk in a bear, the giant panda, Ailuropoda melanoleuca.",Royal Society Open Science,2054-5703; 2054-5703,150395,10,2,Studies that did not meet inclusion criteria,,
2,2015,"West, Kristi L.; Levine, Gregg; Jacob, Jessica; Jensen, Brenda; Sanchez, Susan; Colegrove, Kathleen; Rotstein, David","Coinfection and Vertical Transmission of Brucella and Morbillivirus in a Neonatal Sperm Whale (Physeter macrocephalus) in Hawaii, USA.",Journal of Wildlife Diseases,0090-3558,227-232,1,51,Studies that did not meet inclusion criteria,,
2,2015,"Joanne, Sylvia; Vythilingam, Indra; Yugavathy, Nava; Leong, Cherng-Shii; Wong, Meng-Li; AbuBakar, Sazaly",Distribution and dynamics of Wolbachia infection in Malaysian Aedes albopictus.,Acta Tropica,0001-706X; 1873-6254,38-45,,148,Studies that did not meet inclusion criteria,,
2,2015,"Bersani, Iliana; De Carolis, Maria Pia; Foell, Dirk; Weinhage, Toni; Rossi, Esther Diana; De Carolis, Sara; Rubortone, Serena Antonia; Romagnoli, Costantino; Speer, Christian Paul",Interleukin-22: Biomarker of maternal and fetal inflammation?,Immunologic Research,0257-277X,4-10,1-2,61,Studies that did not meet inclusion criteria,,
2,2015,"Zareba-Szczudlik, Julia; Romejko-Wolniewicz, Ewa; Lewandowski, Zbigniew; Rozanska, Hanna; Czajkowski, Krzysztof","Concentration of amoxicillin in maternal serum, cord blood, amniotic fluid and the placenta after vaginal administration",Journal of Maternal-Fetal & Neonatal Medicine,1476-7058,2048-2052,17,28,Studies that did not meet inclusion criteria,,
2,2015,"Alvarez-Baz, G.; Fernandez-Bravo, M.; Pajares, J.; Quesada-Moraga, E.",Potential of native Beauveria pseudobassiana strain for biological control of Pine Wood Nematode vector Monochamus galloprovincialis,Journal of Invertebrate Pathology,0022-2011,48-56,,132,Studies that did not meet inclusion criteria,,
2,2015,"De Barbieri, I.; Hegarty, R. S.; Silveira, C.; Oddy, V. H.",Positive consequences of maternal diet and post-natal rumen inoculation on rumen function and animal performance of Merino lambs,Small Ruminant Research,0921-4488,37-47,,129,Studies that did not meet inclusion criteria,,
2,2015,"Diehl, Janina M. C.; Koerner, Maximilian; Pietsch, Michael; Meunier, Joel",Feces production as a form of social immunity in an insect with facultative maternal care,Bmc Evolutionary Biology,1471-2148,40,,15,Studies that did not meet inclusion criteria,,
2,2015,"Dubuffet, Aurore; Zanchi, Caroline; Boutet, Gwendoline; Moreau, Jerome; Teixeira, Maria; Moret, Yannick",Trans-generational Immune Priming Protects the Eggs Only against Gram-Positive Bacteria in the Mealworm Beetle,Plos Pathogens,1553-7366,e1005178,10,11,Studies that did not meet inclusion criteria,,
2,2015,"Fisher, Joanna J.; Hajek, Ann E.",Maternal Exposure of a Beetle to Pathogens Protects Offspring against Fungal Disease.,PLoS ONE,1932-6203,e0125197,5,10,Studies that did not meet inclusion criteria,,
2,2015,"Foley, Kelly A.; MacFabe, Derrick F.; Kayaliers, Martin; Ossenkopp, Klaus-Peter","Sexually dimorphic effects of prenatal exposure to lipopolysaccharide, and prenatal and postnatal exposure to propionic acid, on acoustic startle response and prepulse inhibition in adolescent rats: Relevance to autism spectrum disorders",Behavioural Brain Research,0166-4328,244-256,,278,Studies that did not meet inclusion criteria,,
